batter
A Dirannehelage
A Flintoff
A Gardner
A Kumble
A Mishra
A Sutherland
A Symonds
AAP Atkinson
AC Agar
AC Kerr
AD Mathews
AE Satterthwaite
AG Cremer
AJ Hall
AR McBrine
Aamer Jamal
Abdul Razzaq
B Kumar
BA Stokes
BFW de Leede
BJ McMullen
C Bosch
C Campher
C Green
C de Grandhomme
CH Gayle
CJ Anderson
CM Gough
CR Brathwaite
CR Woakes
D van Niekerk
DJ Bravo
DJG Sammy
DJS Dottin
DL Vettori
DM Nakrani
DM de Silva
DN Wyatt
DS Lehmann
EA Perry
F Damiao Couana
Faheem Ashraf
GD Phillips
GJ Maxwell
HAM Shah
HC Knight
HH Pandya
HK Matthews
Harbhajan Singh
IK Pathan
Iftikhar Ahmed
J Yadav
JDP Oram
JDS Neesham
JE Root
JEC Franklin
JH Kallis
JL Jonassen
JO Holder
JP Faulkner
KC Brathwaite
KE Bryce
KR Mayers
L Delany
M Hill
M Kapp
M Labuschagne
MA Starc
MD Shanaka
MDK Perera
MG Bracewell
MG Erasmus
MG Johnson
MJ Clarke
MJ North
MJ Santner
MM Ali
MN Samuels
MN Waller
MR Adair
MR Marsh
Mahmudullah
Mehedi Hasan Miraz
Milind Kumar
Mohammad Hafeez
N Deonarine
NJ Astle
NLTC Perera
NR Sciver
O Prendergast
OH Agbomadzie
PM Siddle
PWA Mulder
Q Abel
R Ashwin
RA Jadeja
RL Chase
RS Bopara
Rajin Saleh
Rohan Mustafa
S Luus
S Ravichandran
SC Williams
SCJ Broad
SFM Devine
SM Curran
SM Katich
SM Pollock
SN Thakur
SR Taylor
SR Watson
ST Jayasuriya
Shahid Afridi
Shakib Al Hasan
Shoaib Malik
Sikandar Raza
Simi Singh
Sohag Gazi
TAM Siriwardana
TM Dilshan
TT Bresnan
V Sehwag
WPUJC Vaas
WW Hinds
Waji Ul Hassan
Washington Sundar
Yasir Ali
Yasir Shah
Yuvraj Singh
